metric,period_ms,ms,lag_ms
IvPSimLatency,50,9,10
IvPSimLatency,50,9,10
IvPSimLatency,50,9,10
IvPSimLatency,50,9,10
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,12,12
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,11,11
IvPSimLatency,50,12,12
